Left	Grapheme	Right	Class	Replacement	Phoneme	Source	Frequency	Codepoint	UnicodeName
	oeij			u:i	ui̯	https://en.wikipedia.org/wiki/Dutch_orthography			
	sch			s	ʃ	https://en.wikipedia.org/wiki/Dutch_orthography			
	oij	$		o:i	oːi̯	https://en.wikipedia.org/wiki/Dutch_orthography			
	eij			e:i	ɛi̯	https://en.wikipedia.org/wiki/Dutch_orthography			
	oe			u	u	https://en.wikipedia.org/wiki/Dutch_orthography			
^	ts			ts	tʃ	https://en.wikipedia.org/wiki/Dutch_orthography			
	tj			c					
	dj			j					
	ie			i		https://en.wikipedia.org/wiki/Dutch_orthography			
	 			 			5	U+0020	SPACE
	\-			-			4	U+002D	HYPHEN-MINUS
	\,			,			2	U+002C	COMMA
	a			a			269	U+0061	LATIN SMALL LETTER A
	b			b			102	U+0062	LATIN SMALL LETTER B
	c			c			6	U+0063	LATIN SMALL LETTER C
	d			d			21	U+0064	LATIN SMALL LETTER D
	e			e			355	U+0065	LATIN SMALL LETTER E
[aiueo]	ë			'e	ʔe		2	U+00EB	LATIN SMALL LETTER E WITH DIAERESIS
	f			f			2	U+0066	LATIN SMALL LETTER F
	g			g			84	U+0067	LATIN SMALL LETTER G
	h			h			61	U+0068	LATIN SMALL LETTER H
	i			i			143	U+0069	LATIN SMALL LETTER I
	I			I			1	U+0049	LATIN CAPITAL LETTER I
	j			j			60	U+006A	LATIN SMALL LETTER J
	k			k			111	U+006B	LATIN SMALL LETTER K
	l			l			105	U+006C	LATIN SMALL LETTER L
	m			m			92	U+006D	LATIN SMALL LETTER M
	n			n			108	U+006E	LATIN SMALL LETTER N
	o			o			247	U+006F	LATIN SMALL LETTER O
	p			p			43	U+0070	LATIN SMALL LETTER P
	r			r			50	U+0072	LATIN SMALL LETTER R
	s			s			51	U+0073	LATIN SMALL LETTER S
	S			S			2	U+0053	LATIN CAPITAL LETTER S
	t			t			130	U+0074	LATIN SMALL LETTER T
	T			T			3	U+0054	LATIN CAPITAL LETTER T
	u			u			14	U+0075	LATIN SMALL LETTER U
	w			w			8	U+0077	LATIN SMALL LETTER W
